380	0.001368	0.000039	0.006450
385	0.001368	0.000065	0.010691
390	0.004243	0.000120	0.020050
395	0.007746	0.000220	0.036668
400	0.014310	0.000396	0.067850
405	0.023478	0.000649	0.111577
410	0.043510	0.001210	0.207400
415	0.078085	0.002195	0.373504
420	0.134380	0.000400	0.645600
425	0.214399	0.007317	1.037403
430	0.283900	0.011600	1.385600
435	0.327998	0.016861	1.620643
440	0.348280	0.023000	1.747060
445	0.347830	0.029831	1.781701
450	0.336200	0.038000	1.772110
455	0.318456	0.048044	1.743013
460	0.290800	0.060000	1.669200
465	0.250636	0.073964	1.525320
470	0.195360	0.090980	1.287640
475	0.142231	0.112709	1.042173
480	0.095640	0.139020	0.812950
485	0.058221	0.169481	0.617217
490	0.032010	0.208020	0.465180
495	0.014851	0.258833	0.353902
500	0.004900	0.323000	0.272000
505	0.002581	0.407459	0.212311
510	0.009300	0.503000	0.158200
515	0.029404	0.608156	0.111990
520	0.063270	0.710000	0.078250
525	0.109812	0.792973	0.057346
530	0.165500	0.862000	0.042160
535	0.225844	0.914589	0.029901
540	0.290400	0.954000	0.020300
545	0.359784	0.980058	0.013446
550	0.433450	0.994950	0.008750
555	0.512134	0.999803	0.005774
560	0.594500	0.995000	0.003900
565	0.678405	0.978404	0.002760
570	0.762100	0.952000	0.002100
575	0.842379	0.915232	0.001804
580	0.913300	0.870000	0.001650
585	0.978302	0.816188	0.001398
590	1.026300	0.757000	0.001100
595	1.056131	0.694858	0.000995
600	1.062200	0.631000	0.000800
605	1.045007	0.566800	0.000597
610	1.002600	0.503000	0.000340
615	0.938021	0.441242	0.000241
620	0.854450	0.381000	0.000190
625	0.751269	0.321078	0.000102
630	0.642400	0.265000	0.000050
635	0.541999	0.217108	0.000031
640	0.447900	0.175000	0.000020
645	0.360995	0.138313	0.000010
650	0.283500	0.107000	0.000000
655	0.218912	0.081693	0.000000
660	0.164900	0.061000	0.000000
665	0.121394	0.044655	0.000000
670	0.087400	0.032000	0.000000
675	0.063747	0.023255	0.000000
680	0.046770	0.017000	0.000000
685	0.032985	0.011952	0.000000
690	0.022700	0.008210	0.000000
695	0.015889	0.005741	0.000000
700	0.011359	0.004102	0.000000
705	0.008131	0.002936	0.000000
710	0.005790	0.002091	0.000000
715	0.004119	0.001487	0.000000
720	0.002899	0.001047	0.000000
725	0.002054	0.000742	0.000000
730	0.001440	0.000520	0.000000
735	0.001003	0.000362	0.000000
740	0.000690	0.000249	0.000000
745	0.000477	0.000173	0.000000
750	0.000332	0.000120	0.000000
755	0.000236	0.000085	0.000000
760	0.000166	0.000060	0.000000
765	0.000118	0.000043	0.000000
770	0.000083	0.000030	0.000000
775	0.000059	0.000022	0.000000
780	0.000042	0.000015	0.000000
